Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (C),Air temperature (F),Ta_h (C),Ta_h (F),Ta_m (C),Ta_m (F),Ta_l (C),Ta_l (F),Operative temperature (C),Operative temperature (F),Radiant temperature (C),Radiant temperature (F),Globe temperature (C),Globe temperature (F),Tg_h (C),Tg_h (F),Tg_m (C),Tg_m (F),Tg_l (C),Tg_l (F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject«s height (cm),Subject«s weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (C),Outdoor monthly air temperature (F),Database
26,22,0.8390546182349624,2,10,17,57,24,2,1,2,0,-0.09252914395035214,1,-0.17553201015256614,0.43318409026302807,1,0.19324698792024947,2,-2.5614743185273685,-0.026016017907716935,-0.3303873018121203,-0.04328116622874552,-0.11010266687487165,0.0890872100800014,-0.09938765367533467,-0.10505864149487534,-0.07370541237490016,-0.09348647248728625,0.15581954131541056,0.16550794612329736,0.4423275501682158,0.46640047096529447,-0.10475652901253667,-0.10491031260725395,-0.045538294226676164,-0.046175112857416496,-0.09822051591830178,-0.09887188376691915,-0.09217669990038649,-0.09082356066172495,-0.08877984091258036,-0.09250375033616297,-0.1273798135781429,-0.12096924575350756,-0.08226355937418067,-0.08824789384013738,-0.053835602914858664,-0.05479475017162244,-0.07256394947061667,2,-0.05936812371939364,-0.20307277486960268,-0.20260816083727218,-0.15690211296429823,-0.16319316196538425,-0.11948370769797984,-0.11885560541037973,-0.060692550776773185,-0.06031219470254412,-0.004554206955032857,-0.06480958952371269,0.1499829574503797,-0.26148818018424536,-0.3258752679561411,-0.21453462331873255,-0.1697250257391052,-0.04662945109569554,-0.049803016504427984,1
37,12,-1.0750528039328267,2,6,3,36,14,2,2,0,0,-0.09252914395035214,1,-0.17553201015256614,0.43318409026302807,0,0.19324698792024947,2,0.2840583962199987,3.301614179590967,4.040221377385941,4.020393353566673,-0.9627495820674786,3.89431980143686,-0.09938765367533467,-0.10505864149487534,-0.07370541237490016,-0.09348647248728625,2.2369709492952103,2.2410285890166737,-0.07616007050304328,-0.07726436765305743,4.0350302261321005,4.040818504072447,-0.045538294226676164,-0.046175112857416496,3.895553813199471,3.8867181053582245,3.8839869516653533,3.8766034843733044,4.873398387494095,4.873738990867633,-0.1273798135781429,-0.12096924575350756,4.3988362918570285,4.41045920174497,-0.053835602914858664,-0.05479475017162244,0.3104576448016004,2,-0.05936812371939364,-0.43003312677751293,-0.42245364960358567,-0.15690211296429823,-0.16319316196538425,-0.6810992550445358,-0.6631158976139022,-0.060692550776773185,-0.06031219470254412,-0.004554206955032857,-0.06480958952371269,0.1499829574503797,-0.26148818018424536,-0.3258752679561411,-0.21453462331873255,-0.1697250257391052,-0.04662945109569554,-0.049803016504427984,0
10,45,0.16348729276397803,2,15,8,8,3,0,2,0,0,-0.09252914395035214,1,-0.17553201015256614,0.43318409026302807,1,0.19324698792024947,2,-3.4275060143200458,-0.6836504442908561,-0.4849896604678706,-0.7751469255152827,1.2986183234433486,-0.4705058180607124,-0.09938765367533467,-0.10505864149487534,-0.07370541237490016,-0.09348647248728625,-0.11099474175892275,-0.11616985541223106,-0.13376980613318182,-0.14122493690227664,-0.10475652901253667,-0.10491031260725395,-0.045538294226676164,-0.046175112857416496,-0.09822051591830178,-0.09887188376691915,-1.564016283629142,-1.567927168197843,-0.08877984091258036,-0.09250375033616297,-0.1273798135781429,-0.12096924575350756,-0.08226355937418067,-0.08824789384013738,-0.053835602914858664,-0.05479475017162244,-1.4317821733923803,2,-0.05936812371939364,0.9317289846699484,0.9326595270543467,3.0154356901390025,3.0402516089069493,-0.11948370769797984,-0.11885560541037973,-0.060692550776773185,-0.06031219470254412,-0.004554206955032857,-0.06480958952371269,0.1499829574503797,-0.26148818018424536,-0.3258752679561411,-0.21453462331873255,-0.1697250257391052,0.9572460079069434,0.9690086916057358,1
32,24,1.4020273894607829,2,4,4,0,7,1,1,2,0,-1.8719357583801994,1,-0.9741307824572347,0.43318409026302807,0,0.19324698792024947,2,-3.4275060143200458,-0.026016017907716935,-0.3303873018121203,-0.04328116622874552,-0.369603901933491,-0.4705058180607124,-0.09938765367533467,-0.10505864149487534,-0.07370541237490016,-0.09348647248728625,-0.19103902668122294,-0.19029559265842308,-0.07616007050304328,-0.07726436765305743,-0.10475652901253667,-0.10491031260725395,-0.045538294226676164,-0.046175112857416496,-0.09822051591830178,-0.09887188376691915,-0.09217669990038649,-0.09082356066172495,-0.08877984091258036,-0.09250375033616297,-0.1273798135781429,-0.12096924575350756,-0.08226355937418067,-0.08824789384013738,-0.053835602914858664,-0.05479475017162244,-0.07256394947061667,2,-0.05936812371939364,-0.20307277486960268,-0.20275232181351235,-0.15690211296429823,-0.16319316196538425,-0.11948370769797984,-0.11885560541037973,-0.060692550776773185,-0.06031219470254412,-0.004554206955032857,-0.06480958952371269,0.1499829574503797,-0.26148818018424536,-0.3258752679561411,-0.21453462331873255,-0.1697250257391052,1.3520284917843857,1.3502817848248765,1
34,38,1.0642437267252907,2,3,16,5,7,2,2,0,0,1.3532387302738988,0,-0.17553201015256614,0.43318409026302807,1,0.19324698792024947,1,1.5212465330666802,0.8946721790286778,0.03035153505129709,1.5821886416894224,0.2235417782004962,1.2082732663614302,-0.09938765367533467,-0.10505864149487534,-0.07370541237490016,-0.09348647248728625,-0.08431331345148999,-0.08651956051375383,-0.07616007050304328,-0.07726436765305743,-0.10475652901253667,-0.10491031260725395,-0.045538294226676164,-0.046175112857416496,-0.09822051591830178,-0.09887188376691915,-0.09217669990038649,-0.09082356066172495,-0.08877984091258036,-0.09250375033616297,0.03794116445967831,0.0399552544887149,-0.08226355937418067,-0.08824789384013738,-0.053835602914858664,-0.05479475017162244,1.8628814516748369,2,-0.05936812371939364,-0.23144281885809148,-0.23086371218035248,-0.49985755113762814,-0.46190387344610395,-0.11948370769797984,-0.11885560541037973,-0.060692550776773185,-0.06031219470254412,-1.8694234342311955,-1.253976369775322,0.1499829574503797,-0.26148818018424536,3.0686587732536617,-0.21453462331873255,-0.1697250257391052,1.498661985796007,1.4940404921042256,1
23,17,1.0642437267252907,2,4,4,31,7,2,1,1,0,-0.09252914395035214,1,-0.17553201015256614,0.43318409026302807,0,0.19324698792024947,2,0.2840583962199987,1.9468872612417003,2.091716317127968,1.9137521348468596,0.0752553581669996,-1.0300988462014276,-0.09938765367533467,-0.10505864149487534,-0.07370541237490016,-0.09348647248728625,1.4098466717647768,1.410820331859324,-0.07616007050304328,-0.07726436765305743,-0.10475652901253667,-0.10491031260725395,-0.045538294226676164,-0.046175112857416496,-0.09822051591830178,-0.09887188376691915,-0.09217669990038649,-0.09082356066172495,-0.08877984091258036,-0.09250375033616297,1.9804626564040841,1.971049257395378,-0.08226355937418067,-0.08824789384013738,-0.053835602914858664,-0.05479475017162244,0.4257030802463386,2,-0.05936812371939364,-0.43003312677751293,-0.42951753743935567,-0.15690211296429823,-0.16319316196538425,-0.11948370769797984,-0.11885560541037973,-0.060692550776773185,-0.06031219470254412,-0.004554206955032857,0.9757113431964454,0.1499829574503797,-0.26148818018424536,-0.3258752679561411,4.661252270288825,-0.1697250257391052,1.0700410033004983,1.0690147488435429,1
38,31,-0.8498636954424986,2,9,5,45,23,2,2,0,0,-0.09252914395035214,1,0.6230667621521024,0.43318409026302807,2,0.19324698792024947,2,0.2840583962199987,-0.8151773295674839,-0.38192142136403706,-1.0581889318691922,-0.33253229692511715,1.7678662945021453,-0.09938765367533467,-0.10505864149487534,-0.07370541237490016,-0.09348647248728625,-1.178251874056256,-1.1835804717573966,-0.07616007050304328,-0.07726436765305743,-0.10475652901253667,-0.10491031260725395,-0.045538294226676164,-0.046175112857416496,-0.09822051591830178,-0.09887188376691915,-0.09217669990038649,-0.09082356066172495,-0.08877984091258036,-0.09250375033616297,-1.3672871488618064,-1.3853760333709646,-0.08226355937418067,-0.08824789384013738,-2.3743357285552777,-2.33075224162614,-0.41491068417410354,2,-0.05936812371939364,-0.4584031707660017,-0.4579172497586762,-0.15690211296429823,-0.16319316196538425,-0.11948370769797984,-0.11885560541037973,-0.060692550776773185,-0.06031219470254412,-0.004554206955032857,-0.06480958952371269,0.1499829574503797,-0.26148818018424536,-0.3258752679561411,-0.21453462331873255,-0.1697250257391052,-1.5242438907512654,-1.5311427393394519,1
12,35,0.8390546182349624,3,7,7,22,1,2,1,1,0,-0.09252914395035214,0,-0.9741307824572347,0.43318409026302807,1,0.19324698792024947,2,0.2840583962199987,-0.026016017907716935,-0.3303873018121203,-0.04328116622874552,1.4098331384684715,-1.0300988462014276,-0.09938765367533467,-0.10505864149487534,-0.07370541237490016,-0.09348647248728625,-1.658517583590056,-1.6728103375822634,-0.07616007050304328,-0.07726436765305743,-0.10475652901253667,-0.10491031260725395,-0.045538294226676164,-0.046175112857416496,-0.09822051591830178,-0.09887188376691915,-0.09217669990038649,-0.09082356066172495,-0.08877984091258036,-0.09250375033616297,-0.1273798135781429,-0.12096924575350756,-0.08226355937418067,-0.08824789384013738,-0.053835602914858664,-0.05479475017162244,0.38502822067760745,2,-0.05936812371939364,-0.20307277486960268,-0.20246399986103195,-0.15690211296429823,-0.16319316196538425,-0.11948370769797984,-0.11885560541037973,-0.060692550776773185,-0.06031219470254412,-0.004554206955032857,-0.5107471321180661,0.1499829574503797,-0.26148818018424536,3.0686587732536617,-0.21453462331873255,-0.1697250257391052,0.1676810401520587,0.16896023370327592,1
37,12,-1.0750528039328267,2,6,3,56,14,2,2,0,0,-1.6495099315764685,1,1.421665534456771,0.43318409026302807,0,0.19324698792024947,2,0.2840583962199987,3.78826365511449,4.210799313102785,2.1482726543972412,-0.5920335319837365,-2.317162810925071,-0.09938765367533467,-0.10505864149487534,-0.07370541237490016,-0.09348647248728625,3.197502368362811,3.20466317321717,-0.07616007050304328,-0.07726436765305743,5.628958816348217,5.640061074304973,-0.045538294226676164,-0.046175112857416496,5.431620862860153,5.422450027773416,5.377794290375134,5.390329495402055,6.707246863209606,6.698683612635295,-0.1273798135781429,-0.12096924575350756,6.002598343876619,6.005930904248994,-0.053835602914858664,-0.05479475017162244,-2.0080093506160708,2,-0.05936812371939364,1.1019492486008813,1.1099775278297994,-0.15690211296429823,-0.16319316196538425,3.1098056895447175,3.128159925533833,-0.060692550776773185,-0.06031219470254412,-0.004554206955032857,-0.06480958952371269,0.1499829574503797,-0.26148818018424536,-0.3258752679561411,-0.21453462331873255,-0.1697250257391052,-0.04662945109569554,-0.049803016504427984,0
26,22,0.8390546182349624,2,10,17,57,24,2,1,2,0,-0.09252914395035214,1,-0.17553201015256614,0.43318409026302807,1,0.19324698792024947,2,1.5212465330666802,-0.026016017907716935,-0.3303873018121203,-0.04328116622874552,-0.11010266687487165,0.0890872100800014,-0.09938765367533467,-0.10505864149487534,-0.07370541237490016,-0.09348647248728625,-0.19103902668122294,-0.20512074010766274,-0.30659901302360154,-0.3331066446499343,-0.10475652901253667,-0.10491031260725395,-0.045538294226676164,-0.046175112857416496,-0.09822051591830178,-0.09887188376691915,-0.09217669990038649,-0.09082356066172495,-0.08877984091258036,-0.09250375033616297,-0.1273798135781429,-0.12096924575350756,-0.08226355937418067,-0.08824789384013738,-0.053835602914858664,-0.05479475017162244,-0.07256394947061667,2,-0.05936812371939364,-0.20307277486960268,-0.20260816083727218,-0.15690211296429823,-0.16319316196538425,-0.11948370769797984,-0.11885560541037973,-0.060692550776773185,-0.06031219470254412,-0.004554206955032857,-0.06480958952371269,0.1499829574503797,-0.26148818018424536,-0.3258752679561411,-0.21453462331873255,-0.1697250257391052,-0.04662945109569554,-0.049803016504427984,1
